timestamp, frame, x, y, z, qx, qy, qz, qw
21139.968859375, 000089, 0.22882338, -0.61082166, -0.7163897, -0.40934765, 0.123447545, -0.90393615, -0.009734212
21140.035531416, 000090, 0.24306934, -0.6079915, -0.6912499, -0.40441972, 0.122016676, -0.9063863, -0.00452794
21140.102203416, 000091, 0.25731647, -0.6057751, -0.66520065, -0.40013152, 0.12171522, -0.9083382, -0.0014071986
21140.168875375, 000092, 0.2714392, -0.60406363, -0.6395836, -0.39587292, 0.12163858, -0.91021323, 0.00071912364
21140.2355475, 000093, 0.28682515, -0.60325885, -0.61247474, -0.39162993, 0.12196589, -0.9120007, 0.002241173
21140.3022195, 000094, 0.30202857, -0.60339564, -0.58414507, -0.38709265, 0.12188314, -0.91394025, 0.0041354666
21140.368891416, 000095, 0.3173807, -0.6024328, -0.5539105, -0.38253167, 0.1224563, -0.91577387, 0.005670645
21140.435563541, 000096, 0.33464208, -0.59948975, -0.52427346, -0.37804633, 0.12248625, -0.9176216, 0.006978456
21140.5022355, 000097, 0.35446385, -0.59583175, -0.49446583, -0.37330785, 0.12192896, -0.91961837, 0.008760572
21140.5689075, 000098, 0.3755249, -0.59117395, -0.46411598, -0.36869115, 0.121030115, -0.92158055, 0.010379975
21140.6355795, 000099, 0.39880487, -0.58469385, -0.4315846, -0.36375523, 0.11980376, -0.9236793, 0.012079471
21140.702251458, 000100, 0.42235866, -0.5763663, -0.39922267, -0.35838944, 0.11837563, -0.9259435, 0.013148679
21140.768923583, 000101, 0.44631687, -0.5661621, -0.3707466, -0.35284758, 0.11619502, -0.92833835, 0.013608292
21140.835595583, 000102, 0.4690859, -0.5538861, -0.34362918, -0.34713897, 0.114373885, -0.9307207, 0.013122691
21140.902267625, 000103, 0.48853055, -0.53927684, -0.3195752, -0.3411551, 0.11246467, -0.9331746, 0.012252826
21140.968939625, 000104, 0.50375223, -0.5230754, -0.2989959, -0.33540994, 0.11039363, -0.9355156, 0.011140578
21141.035611666, 000105, 0.51637876, -0.50691634, -0.27954966, -0.3302893, 0.10845072, -0.93757814, 0.009735065
21141.102283666, 000106, 0.5234401, -0.48968452, -0.26547623, -0.3255443, 0.10720968, -0.93938696, 0.00890094
21141.168955625, 000107, 0.5288148, -0.47370976, -0.25028414, -0.3213187, 0.10572964, -0.9410173, 0.007871771
21141.235627708, 000108, 0.5347405, -0.45956743, -0.23360272, -0.31681022, 0.10384717, -0.94276047, 0.0070516695
21141.302299666, 000109, 0.5405646, -0.4475727, -0.21798651, -0.3119278, 0.102226436, -0.94457245, 0.0058009573
21141.36897175, 000110, 0.54463816, -0.4372747, -0.20380501, -0.3059719, 0.10134516, -0.9466213, 0.00429746
